counselling_type,year,round,institute,academic_program,quota,seat_type,gender,opening_rank_raw,closing_rank_raw,opening_rank,closing_rank,source_label,source_url
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,434,538,434,538,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),577,577,577,577,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,7859,9552,7859,9552,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),15486,15783,15486,15783,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,68P,68P,,,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1312,1339,1312,1339,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2548,2548,2548,2548,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,3200,3549,3200,3549,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),6520,6587,6520,6587,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1945,2077,1945,2077,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),2911,2911,2911,2911,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,968,1036,968,1036,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,4363,8996,4363,8996,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),11432,15164,11432,15164,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,275,275,275,275,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1252,1302,1252,1302,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2374,2374,2374,2374,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,2815,3260,2815,3260,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),5679,6007,5679,6007,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,61P,61P,,,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1534,1817,1534,1817,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),2466,2466,2466,2466,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,847,919,847,919,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1060,1060,1060,1060,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,9677,12873,9677,12873,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),15202,20504,15202,20504,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Engineering Physics (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,2163,2270,2163,2270,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Engineering Physics (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),3564,3564,3564,3564,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,4967,5062,4967,5062,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),9282,9521,9282,9521,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Engineering Physics (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,2822,3006,2822,3006,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Engineering Physics (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),4330,4330,4330,4330,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Engineering Physics (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1246,1335,1246,1335,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Major in Mathematics (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,7095,10445,7095,10445,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Major in Mathematics (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),20238,21227,20238,21227,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Major in Mathematics (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,2322,2387,2322,2387,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Major in Mathematics (4 Years, Bachelor of Science)",AI,OBC-NCL,Gender-Neutral,5549,5687,5549,5687,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Major in Mathematics (4 Years, Bachelor of Science)",AI,OBC-NCL,Female-only (including Supernumerary),9260,9260,9260,9260,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Major in Mathematics (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,3175,3248,3175,3248,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Major in Mathematics (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,1442,1442,1442,1442,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Major in Physics (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,12478,14236,12478,14236,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Major in Physics (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),25766,26020,25766,26020,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Major in Physics (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,2404,2431,2404,2431,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Major in Physics (4 Years, Bachelor of Science)",AI,OBC-NCL,Gender-Neutral,5033,5832,5033,5832,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Major in Physics (4 Years, Bachelor of Science)",AI,OBC-NCL,Female-only (including Supernumerary),10225,10225,10225,10225,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Major in Physics (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,3284,3286,3284,3286,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Major in Physics (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,1505,1505,1505,1505,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,7479,8053,7479,8053,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),10656,12457,10656,12457,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,44P,44P,,,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1193,1214,1193,1214,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2195,2195,2195,2195,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,2798,3062,2798,3062,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),5539,5733,5539,5733,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,96P,96P,,,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1812,1842,1812,1842,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),2553,2553,2553,2553,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,661,740,661,740,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,11090,12908,11090,12908,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),21697,22495,21697,22495,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,438P,438P,,,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1736,1979,1736,1979,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),3537,3537,3537,3537,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,3766,4918,3766,4918,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),8380,9135,8380,9135,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,2101,2591,2101,2591,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),3030,3728,3030,3728,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1070,1185,1070,1185,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Dharwad,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1629,1629,1629,1629,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,"Indian Institute of Science, Bangalore","Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,2709,3552,2709,3552,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,"Indian Institute of Science, Bangalore","Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),3245,4716,3245,4716,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,"Indian Institute of Science, Bangalore","Aerospace Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,710,769,710,769,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,"Indian Institute of Science, Bangalore","Aerospace Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1739,1739,1739,1739,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,"Indian Institute of Science, Bangalore","Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,1132,1690,1132,1690,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,"Indian Institute of Science, Bangalore","Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),3633,3729,3633,3729,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,"Indian Institute of Science, Bangalore","Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,88,88,88,88,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,"Indian Institute of Science, Bangalore","Aerospace Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,955,1006,955,1006,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,"Indian Institute of Science, Bangalore","Aerospace Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,516,516,516,516,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,"Indian Institute of Science, Bangalore","B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,2742,4373,2742,4373,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,"Indian Institute of Science, Bangalore","B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),4786,6524,4786,6524,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,"Indian Institute of Science, Bangalore","B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,897,918,897,918,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,"Indian Institute of Science, Bangalore","B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,1563,2224,1563,2224,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,"Indian Institute of Science, Bangalore","B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),4231,4231,4231,4231,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,"Indian Institute of Science, Bangalore","B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1179,1297,1179,1297,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,"Indian Institute of Science, Bangalore","B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),1844,1844,1844,1844,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,"Indian Institute of Science, Bangalore","B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,570,720,570,720,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,"Indian Institute of Science, Bangalore","B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1170,1170,1170,1170,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,"Indian Institute of Science, Bangalore","B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,156,712,156,712,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,"Indian Institute of Science, Bangalore","B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),2347,2954,2347,2954,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,"Indian Institute of Science, Bangalore","B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,67,67,67,67,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,"Indian Institute of Science, Bangalore","B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,108,153,108,153,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,"Indian Institute of Science, Bangalore","B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),427,427,427,427,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,"Indian Institute of Science, Bangalore","B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,235,546,235,546,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,"Indian Institute of Science, Bangalore","B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),730,1067,730,1067,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,"Indian Institute of Science, Bangalore","B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,61,61,61,61,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,"Indian Institute of Science, Bangalore","B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,154,272,154,272,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
