counselling_type,year,round,institute,academic_program,quota,seat_type,gender,opening_rank_raw,closing_rank_raw,opening_rank,closing_rank,source_label,source_url
JOSAA,2026,1,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,368,849,368,849,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),1201,1260,1201,1260,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,264,326,264,326,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),649,649,649,649,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,5832,7580,5832,7580,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),13304,14907,13304,14907,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,298,298,298,298,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1055,1114,1055,1114,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2219,2267,2219,2267,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,2394,2910,2394,2910,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),5355,5970,5355,5970,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1364,1657,1364,1657,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),2605,2643,2605,2643,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
JOSAA,2026,1,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,613,774,613,774,Official JoSAA 2026 OR-CR,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
